file_id|series_id|slug_title|title
m|GR4PD7WQY|meiji-tokyo-renka|Meiji Tokyo Renka
m|G62PJ4X26|meow-meow-japanese-history|Meow Meow Japanese History
m|GYG5V5Z4Y|merc-storia-the-apathetic-boy-and-the-girl-in-a-bottle|Merc StoriA: The Apathetic Boy and the Girl in a Bottle
m|G24H1NWMJ|metallic-rouge|Metallic Rouge
m|GEXH3W2W7|mf-ghost|MF GHOST
m|G6Q4Z8PQR|michiko--hatchin|Michiko & Hatchin
m|G6XJNXZ2R|midnight-eye-goku|Midnight Eye Goku
m|GR4PX80WY|midnight-occult-civil-servants|Midnight occult civil servants
m|GEXH3WK52|mieruko-chan|Mieruko-chan
m|GJ0H7QGKK|migidali|Migi&Dali
m|GRQ42KD7Y|mikagura-school-suite|Mikagura School Suite
m|G609GX1M6|military|Military!
m|GR79JDP46|million-arthur|Million Arthur
m|GY8VXV1JY|million-doll|Million Doll
m|GQWH0M18K|mina|Mina
m|GYDQMPE46|minami-kamakura-high-school-girls-cycling-club|Minami Kamakura High School Girls Cycling Club
m|GY5VK2KKY|mischievous-kiss---love-in-tokyo|Mischievous Kiss - Love in Tokyo
m|G6E51Q71Y|mischievous-kiss-2---love-in-tokyo|Mischievous Kiss 2 - Love in Tokyo
m|G6Q4MWK2R|miss-bernard-said|Miss Bernard said.
m|GNVHKN77P|miss-caretaker-of-sunohara-sou|Miss Caretaker of Sunohara-sou
m|G6497Z43Y|miss-kobayashis-dragon-maid|Miss Kobayashi's Dragon Maid
m|G0XHWM0G9|miss-kuroitsu-from-the-monster-development-department|Miss KUROITSU from the Monster Development Department
m|G68VJ2046|miss-machiko|Miss Machiko
m|GRE5M2GX6|miss-monochrome---the-animation|Miss Monochrome - The Animation
m|GG5H5XEJ7|miss-shachiku-and-the-little-baby-ghost|Miss Shachiku and the Little Baby Ghost
m|GRZX822VY|mitchiri-neko|Mitchiri Neko
m|GY9VK9PWR|mix|MIX
m|GY190DKQR|mob-psycho-100|Mob Psycho 100
m|GY8V5PQ8Y|mobile-fighter-g-gundam|Mobile Fighter G Gundam
m|GKEH2G9XV|mobile-suit-gundam|Mobile Suit Gundam
m|G6MGQ0976|mobile-suit-gundam-00|MOBILE SUIT GUNDAM 00
m|GYQ4QK446|mobile-suit-gundam-iron-blooded-orphans|Mobile Suit GUNDAM Iron Blooded Orphans
m|GYWEQQD2Y|mobile-suit-gundam-seed|Mobile Suit Gundam Seed
m|G63VZZDEY|mobile-suit-gundam-seed-destiny|Mobile Suit Gundam Seed Destiny
m|G3KHEV0NW|mobile-suit-gundam-the-origin|MOBILE SUIT GUNDAM THE ORIGIN
m|G60X0KVGR|mobile-suit-gundam-the-origin-advent-of-the-red-comet|MOBILE SUIT GUNDAM THE ORIGIN Advent of the Red Comet
m|G79H2307W|mobile-suit-gundam-the-witch-from-mercury|Mobile Suit Gundam the Witch from Mercury
m|G6MGP9W76|mobile-suit-gundam-unicorn-re0096|MOBILE SUIT GUNDAM UNICORN RE:0096
m|G63VP3PMY|mobile-suit-gundam-wing|Mobile Suit Gundam Wing
m|G0XHWM435|mobile-suit-gundam-zz|Mobile Suit Gundam ZZ
m|GXJHM3P5W|mobile-suit-zeta-gundam|Mobile Suit Zeta Gundam
m|GRVDN19XR|moeyo-ken|Moeyo Ken
m|GYW47E7N6|mon-colle-knights|Mon Colle Knights
m|GQWH0MPNM|mongolian-chop-squad|Mongolian Chop Squad
m|GYWEMJ1GY|monogatari-second-season|Monogatari Second Season
m|GQWH0M1MK|mononoke|Mononoke
m|G60XNJW4R|monster-girl-doctor|Monster Girl Doctor
m|G6K5X43PY|monster-hunter-stories-ride-on|Monster Hunter Stories Ride On
m|G619JM99Y|monster-strike|Monster Strike
m|GJ0H7Q5N3|more-than-a-married-couple-but-not-lovers|More than a Married Couple, but Not Lovers.
m|GXJHM379D|moriarty-the-patriot|Moriarty the Patriot
m|G69PVZG0Y|moritasan-wa-mukuchi|Moritasan wa Mukuchi
m|GR751MQ4Y|moyashimon|Moyashimon
m|GYZJNKZVR|mr-love-queens-choice|Mr Love: Queen's Choice
m|GYQ4Q3DP6|mr-osomatsu|Mr. Osomatsu
m|GRZJXWD36|mr-tonegawa-middle-management-blues|Mr. TONEGAWA Middle Management Blues
m|GXJHM3GV4|mr-villains-day-off|Mr. Villain's Day Off
m|G675XDGNR|ms-koizumi-loves-ramen-noodles|Ms. Koizumi Loves Ramen Noodles
m|GYQW9J0ZY|ms-vampire-who-lives-in-my-neighborhood|Ms. Vampire who lives in my neighborhood.
m|GR3KV03WR|muhyo--rojis-bureau-of-supernatural-investigation|Muhyo & Roji's Bureau of Supernatural Investigation
m|G63KKJVW6|murder-princess|Murder Princess
m|G6X0MVGKY|muromi-san|Muromi-san
m|GKEH2GQ4V|musasi-no|Musasi-no
m|GRX0MGN76|mushi-shi|MUSHI-SHI
m|G6P8XKXK6|mushi-uta|Mushi-Uta
m|G65VJVG56|mushibugyo|Mushibugyo
m|G24H1N3MP|mushoku-tensei-jobless-reincarnation|Mushoku Tensei: Jobless Reincarnation
m|GYW4E1WN6|music-girls|Music Girls
m|GVDHX8Q8P|muteking-the-dancing-hero|MUTEKING THE Dancing HERO
m|GVDHX8PP9|muv-luv-alternative|Muv-Luv Alternative
m|GMEHME8K8|my-clueless-first-friend|My Clueless First Friend
m|G5PHNM9M5|my-daughter-left-the-nest-and-returned-an-s-rank-adventurer|My Daughter Left the Nest and Returned an S-Rank Adventurer
m|GQWH0M9N8|my-dress-up-darling|My Dress-Up Darling
m|G675N15MR|my-first-girlfriend-is-a-gal|My First Girlfriend is a Gal
m|G6NQ5DWZ6|my-hero-academia|My Hero Academia
m|G60X904VR|my-hime|My-HiME
m|GG5H5X389|my-home-hero|My Home Hero
m|G6MG8P1W6|my-little-monster|My Little Monster
m|G6MGPGZ86|my-love--story|MY love  STORY!!
m|GNVHKNPQ7|my-love-story-with-yamada-kun-at-lv999|My Love Story with Yamada-kun at Lv999
m|GYNQJ2GJY|my-mental-choices-are-completely-interfering-with-my-school-romantic-comedy|My Mental Choices are Completely Interfering with my School Romantic Comedy
m|G0XHWM1ZK|my-new-boss-is-goofy|My New Boss is Goofy
m|GY5PW4JEY|my-next-life-as-a-villainess-all-routes-lead-to-doom|My Next Life as a Villainess: All Routes Lead to Doom!
m|G5PHNM717|my-one-hit-kill-sister|My One-Hit Kill Sister
m|G0XHWM5WQ|my-otome|My-Otome
m|G6EX7J43R|my-roommate-is-a-cat|My Roommate is a Cat
m|GP5HJ815K|my-senpai-is-annoying|My Senpai Is Annoying
m|G6245PG7Y|my-sister-my-writer|My Sister, My Writer
m|G0XHWM44M|my-stepmoms-daughter-is-my-ex|My Stepmom's Daughter Is My Ex
m|G64PVJJ1R|my-sweet-tyrant|My Sweet Tyrant
m|GYNQJ8GXY|my-teen-romantic-comedy-snafu|My Teen Romantic Comedy SNAFU
m|G79H23Z45|my-tiny-senpai|My Tiny Senpai
m|G1XHJV0VV|my-unique-skill-makes-me-op-even-at-level-1|My Unique Skill Makes Me OP even at Level 1
m|GYP8XN95Y|my-wife-is-the-student-council-president|My Wife is the Student Council President
m|G609G0PP6|myriad-colors-phantom-world|Myriad Colors Phantom World
m|GYP817ZDY|myself-yourself|Myself; Yourself
m|GYME20ZZ6|mysteria-friends|MYSTERIA Friends
m|G1XHJV03M|mysterious-disappearances|Mysterious Disappearances
n|G3KHEV0E4|nabari-no-ou|Nabari no Ou
n|G63K9Q9X6|nagasarete-airanto|Nagasarete Airanto
n|GRNQJ57XR|nagi-no-asukara-nagi-asu-a-lull-in-the-sea|Nagi no Asukara (Nagi-Asu: A Lull in the Sea)
n|G679JN2KY|namuamidabutsu--utena-|NAMUAMIDABUTSU! -UTENA-
n|GY3V7KGVR|nananas-buried-treasure|Nanana's Buried Treasure
n|G6K5PP7EY|nanbaka|NANBAKA
n|GY9PJ5KWR|naruto|Naruto
n|GYQ4MW246|naruto-shippuden|Naruto Shippuden
n|GR9PV4ED6|naruto-spin-off-rock-lee--his-ninja-pals|NARUTO Spin-Off: Rock Lee & His Ninja Pals
n|GYGGPPW7Y|natsume-yujin-cho|Natsume Yujin-cho
n|GRE5XQJV6|natsume-yujin-cho-4|Natsume Yujin-cho 4
n|GR09QXWGR|natsume-yujin-cho-5|Natsume Yujin-cho 5
n|G6P8GKKJ6|natsume-yujin-cho-6|Natsume Yujin-cho 6
n|G6490VQPY|nazotokine|Nazotokine
n|GY49M09ZR|nekomonogatari-black|Nekomonogatari Black
n|GVDHX8J8Z|nekopara|Nekopara
n|G6X0490PY|neo-angelique-abyss|Neo Angelique Abyss
n|G609E9EW6|netsuzou-trap--ntr-|Netsuzou Trap -NTR-
n|GRWE2PQQR|new-game|NEW GAME!
n|GRKE7JQ1R|ng-knight-lamune--40|NG Knight Lamune & 40
n|GR24PVM76|nichijou---my-ordinary-life|Nichijou - My Ordinary Life
n|GNVHKNPW1|nierautomata-ver11a|NieR:Automata Ver1.1a
n|GEXH3WPXK|night-head-2041|NIGHT HEAD 2041
